idddl	age	natura
38331	0.08176100628930817	20130925
38393	0.12578616352201258	20131001
38394	0.12578616352201258	20131001
38771	0.012578616352201259	20131011
38831	0.0440251572327044	20131107
38381	0.3081761006289308	20131205
36905	0.012578616352201259	20130522
37559	0.050314465408805034	20130621
37015	0.22012578616352202	20130718
37677	0.2578616352201258	20130731
37674	0.13836477987421383	20130731
38770	0.0440251572327044	20131003
38778	0.050314465408805034	20131024
38777	0.025157232704402517	20131029
38461	0.9308176100628931	20140409
36570	0.13836477987421383	20130619
37930	0.1761006289308176	20130717
38395	0.03773584905660377	20130807
37712	0.16352201257861634	20130708
37653	0.16352201257861634	20130708
38169	0.12578616352201258	20130801
36519	1.0	20131218
38410	0.012578616352201259	20130808
37255	0.006289308176100629	20130605
37675	0.13836477987421383	20130731
37676	0.4088050314465409	20130912
38154	0.012578616352201259	20130801
38329	0.006289308176100629	20130809
39087	0.11949685534591195	20131211
37103	0.6729559748427673	20140327
38998	0.006289308176100629	20131205
40124	0.11949685534591195	20140129
38539	0.34591194968553457	20140327
40158	0.031446540880503145	20140205
39250	0.006289308176100629	20131223
36814	0.4339622641509434	20140402
36736	0.13836477987421383	20140227
40345	0.0440251572327044	20140219
40409	0.08176100628930817	20140313
40366	0.12578616352201258	20140409
40725	0.10062893081761007	20140430
39251	0.006289308176100629	20131223
40486	0.0440251572327044	20140327
40346	0.08176100628930817	20140219
40350	0.03773584905660377	20140220
38775	0.0440251572327044	20140403
36658	0.07547169811320754	20140416
40352	0.050314465408805034	20140226
40447	0.08176100628930817	20140318
40805	0.050314465408805034	20140515
40772	0.12578616352201258	20140507
40810	0.0880503144654088	20140514
